text,label
"Lakier roweru bardzo kiepskiej jakości, robią się odpryski nie wiadomo od czego rower ładny wygodny ale po 3 miesiącach użytkowania widoczne odpryski lakieru czego za taką cenę nie powinno być ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! Oczywiście producent twierdzi że są to wady mechaniczne, dziecko ma w lepszym stanie lakier na rowerze ale nie z tej firmy ODRADZAM ZAKUP Z TEGO POWODU SZKODA TYLE KASY I NERWÓW chyba ze rower będzie stał nieużywany za szybą. Na zakończenie powiem tak porównując lakier zwykły do paznokci a hybrydę wiadomo w tańszym zwykłym lakierze robią się odpryski a lepszym nie ! ! ! ! ! ! ! ! ! ! ! ! !",Negative
"Lakier roweru bardzo kiepskiej jakości, robią się odpryski nie wiadomo od czego rower ładny wygodny ale po 3 miesiącach użytkowania widoczne odpryski lakieru czego za taką cenę nie powinno być ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !",Negative
"Lakier roweru bardzo kiepskiej jakości, robią się odpryski nie wiadomo od czego rower ładny wygodny ale po 3 miesiącach użytkowania widoczne odpryski lakieru czego za taką cenę nie powinno być ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !",Negative
"Nie jestem zadowolony z zakupu. Przede wszystkim są skrajnie niewygodne. Uciskają uszy, po 10 minutach mam zwyczajnie dość i zdjęcie słuchawek to niesamowite ukojenie. Kolejna kwestia to problemy z łącznością na początku. U mnie po sparowaniu słuchawek z telefonem pierwszy utwór się zacina. Może taki już urok bezprzewodowych słuchawek, nie wiem, nie wnikam, dla mnie to wada. Wada nr 3 to samo posługiwanie się tymi słuchawkami. Te komunikaty o głośności jeszcze można jakoś przeżyć, ale ten sygnał chociażby przy wyłączaniu urządzenia jest niezwykle irytujący. Jakość dźwięku jest zadowalająca, ale te wady.. uważam, że słuchawki za 200zł powinny być ich pozbawione. Gdyby m mógł cofnąć czas, kupił by m inny sprzęt.",Negative
"Nie jestem zadowolony z zakupu. Przede wszystkim są skrajnie niewygodne. Uciskają uszy, po 10 minutach mam zwyczajnie dość i zdjęcie słuchawek to niesamowite ukojenie. Kolejna kwestia to problemy z łącznością na początku. U mnie po sparowaniu słuchawek z telefonem pierwszy utwór się zacina. Może taki już urok bezprzewodowych słuchawek, nie wiem, nie znam się, ale z rozmów z nimi bardzo mi się podoba.",Negative
"Nie jestem zadowolony z zakupu. Przede wszystkim są skrajnie niewygodne. Uciskają uszy, po 10 minutach mam zwyczajnie dość i zdjęcie słuchawek to niesamowite ukojenie. Kolejna kwestia to problemy z łącznością na początku. U mnie po sparowaniu słuchawek z telefonem pierwszy utwór się zacina. Może taki już urok bezprzewodowych słuchawek, nie wiem, nie mam pojęcia. Mam bardzo dobre porównanie z innymi bezprzewodowymi słuchawkami. Uwielbiam je i nie zamieniłbym ich na żadne inne.",Negative
"Szukając klucze tej wielkości brał em dwa pod uwagę, tzn Yato i Neo ze wzgląd na duży rozstaw szczęk. Kupił em jednak Yato bo był akurat dostępny w pobliskim sklepie i w niskiej cenie, a pyzatym mam część narzędzi tej firmy i się sprawdzają. Jednak po rozpakowaniu trochę się rozczarował em a to za sprawą regulowanej szczęki która lata na boki i nie jest sztywna tak jak w większym kluczu który posiadam. Poza tym szerokość szczęki ruchomej jest większa od szerokości nieruchomej prawdopodobnie dlatego że jest ona luźna i w procesie obróbki odchylała się na boki. Kolejnym minusem jest sposób zablokowania sworznia a mianowicie nacięcie go jakąś tarczą szlifierską. Co do plusów to ergonomiczna gumowa rączka, otwory których można użyć jako kluczy oczkowych jak i do zawieszenia. Tak wiec klucz spełnia swoją role jednak nie jest to ideał dla ludzi ceniących zarówno funkcjonalność jak i jakość wykonania.",Neutral
"Szukając klucze tej wielkości brał em dwa pod uwagę, tzn Yato i Neo ze wzgląd na duży rozstaw szczęk. Kupił em jednak Yato bo był akurat dostępny w pobliskim sklepie i w niskiej cenie, a pyzatym mam część narzędzi tej firmy i się sprawdzają. Jednak po rozpakowaniu trochę się rozczarował em a to za sprawą regulowanej szczęki która lata na boki i nie jest sztywna tak jak w większym kluczu który posiadam. Poza tym szerokość szczęki ruchomej jest za duża i nie dopasuje się ona do dłoni. Niestety mam jeszcze dwa klucze i jeden Yato bo nie ma w nim mechanizmu z blokadą który można by było zastąpić.",Neutral
"Szukając klucze tej wielkości brał em dwa pod uwagę, tzn Yato i Neo ze wzgląd na duży rozstaw szczęk. Kupił em jednak Yato bo był akurat dostępny w pobliskim sklepie i w niskiej cenie, a pyzatym mam część narzędzi tej firmy i się sprawdzają. Jednak po rozpakowaniu trochę się rozczarował em a to za sprawą regulowanej szczęki która lata na boki i nie jest sztywna tak jak w większym kluczu który posiadam. Poza tym szerokość szczęki ruchomej jest zdecydowanie mniejsza niż w Yato co powoduje, że nie jest ona w stanie unieść dużego klucza.",Neutral
"Długo szukała m odpowiedniego fotelika dla bardzo wysokiej 2 latki : ) wcześniej użytkowała m fotelik 9 - 18kg, ten miał być większy producent podaje 9 - 36kg - niestety jest to trochę na wyrost, chociaż teoretycznie dziecko mieściło się w środkowym przedziale wagowym ( 16kg ) to fotelik okazał się zbyt mały. Przy maksymalnie wysuniętym zagłówku głowa dziecka dotykała górnej krawędzi fotelika, tak więc nie wyobrażam sobie, że fotelik miał by służyć przez następnych kilka lat. Poza tym fotelik wyglądał solidnie i myślę, że świetnie nadawał by się jako fotelik następny po nosidełku.",Neutral
